ID1	APPLY_P_00	APPLY_P_01	APPLY_P_02	APPLY_P_03	APPLY_P_04	APPLY_P_05	APPLY_P_06	APPLY_P_07	APPLY_P_08	APPLY_P_09	APPLY_P_10	APPLY_P_11	APPLY_P_12	APPLY_P_13	APPLY_P_14	APPLY_P_15	APPLY_P_16	APPLY_P_17	APPLY_P_18	APPLY_P_19	APPLY_U_00	APPLY_U_01	APPLY_U_02	APPLY_U_03	APPLY_U_04	APPLY_U_05	APPLY_U_06	APPLY_U_07	APPLY_U_08	APPLY_U_09	APPLY_U_10	APPLY_U_11	APPLY_U_12	APPLY_U_13	APPLY_U_14	APPLY_U_15	APPLY_U_16	APPLY_U_17	APPLY_U_18	APPLY_U_19	APPLY_D_00	APPLY_D_01	APPLY_D_02	APPLY_D_03	APPLY_D_04	APPLY_D_05	APPLY_D_06	APPLY_D_07	APPLY_D_08	APPLY_D_09	APPLY_D_10	APPLY_D_11	APPLY_D_12	APPLY_D_13	APPLY_D_14	APPLY_D_15	APPLY_D_16	APPLY_D_17	APPLY_D_18	APPLY_D_19	REGISTER_P_00	REGISTER_P_01	REGISTER_P_02	REGISTER_P_03	REGISTER_P_04	REGISTER_P_05	REGISTER_P_06	REGISTER_P_07	REGISTER_P_08	REGISTER_P_09	REGISTER_P_10	REGISTER_P_11	REGISTER_P_12	REGISTER_P_13	REGISTER_P_14	REGISTER_P_15	REGISTER_P_16	REGISTER_P_17	REGISTER_P_18	REGISTER_P_19	REGISTER_U_00	REGISTER_U_01	REGISTER_U_02	REGISTER_U_03	REGISTER_U_04	REGISTER_U_05	REGISTER_U_06	REGISTER_U_07	REGISTER_U_08	REGISTER_U_09	REGISTER_U_10	REGISTER_U_11	REGISTER_U_12	REGISTER_U_13	REGISTER_U_14	REGISTER_U_15	REGISTER_U_16	REGISTER_U_17	REGISTER_U_18	REGISTER_U_19	REGISTER_D_00	REGISTER_D_01	REGISTER_D_02	REGISTER_D_03	REGISTER_D_04	REGISTER_D_05	REGISTER_D_06	REGISTER_D_07	REGISTER_D_08	REGISTER_D_09	REGISTER_D_10	REGISTER_D_11	REGISTER_D_12	REGISTER_D_13	REGISTER_D_14	REGISTER_D_15	REGISTER_D_16	REGISTER_D_17	REGISTER_D_18	REGISTER_D_19
86		2				1		1	1			1				4		1	1	1				1			3			1				1				1																				4	4	2		1		2					2							1	2		1					1			3					1			1																								4	
87	1	3	3	2	1	3	3	18	9	6	8	9	17	7	3		1	2		1	3	2	1	3			1	1										1	1			2							3				1	2											2	2	3	4	5	3	5	3	2	5	14	5	1	1		3	4	2	1	3			1		1										1				2							2	1		1	2						
88				2	1			1										2							1																			1																					2						1														1																																			
89	1	1			1	2	4	11	8	7		3	5	7	13	6	4	4	4	4					1		2																				2	1		1					3					1						1	2	4	2	8	8	5	5	3	2	4	3	12	4	1					1		2																					2	1			1				3				1
90		2	6	3	1	7	12	20	25	13	16	14	16	4	12	10	7	13	5	6	2	6	5	11	7	7	7	1			1										1	4	3	2	6	13	9	6	4	2	1								1				1		3	3	7	6	12	6	18	10	12	10	6	8	7	15	5	5	2	5	7	10	12	5	9			1												1	5	3	4	3	17	9	1	3	2	1							1	
91			5	5	4	2	5	5	3	3	4	20	19	14	8	4	1	9	3	2		1	6	1	2																1	2	4	3	1	2	4	2		2		3	5	4	7	7	5		2	5					1	4	5	2	6	1	2	1	2	13	6	10	3	2	3		2	1	6	1	1	1															1		2	3	3	1	2	4	2		2			8	7	6	7	3	2	2
92																																																																																																																								
93	4												1	2			1	3			2																																								1	1												1	1	1				2	3																																							
94								1			1			1	2		2	1		2																																				1		2	2	1									1		1				1																																										1		2	1
95		1			1		1		3		1			1		6		2			2	5	2	4			1								1																													1			1		1			1	1				1	3			4	7	1	4	1		1																																	
96								1	1			2			1																																																							2			2				3	1																																										
98				1	11	5	5	2	10		3	1	4	1	4	14	2	2	1	5							1	1																																							7	3	3	2	5		2	2	1	3	10	1	1	3																																								
99	11	14	17	70	84	240	564	912	648	360	204	298	314	408	425	337	398	318	294	679	1	1	4	3					3	3		15	19												1																7	3	13	6	14	33	115	264	306	254	181	378	109	107	189	154	102	101	294	422	4		4	5										13	10	1	5	1								1														
100																																																																																																																								
101																																																																																																																								
102																																																																																																																								
103																																																																																																																								
104																				1																																																		1																																																		
105	15	2	1	5		4	9	5	13	9	4	3	5	6	6	12	9	4	4	1	12	2		6		1					1				2							1	5	2		2		7								2							4		2	2	4	7	5	4	3	3	4	3	7	4	4	7	4	2	10	3	1	5		1								1									1	5	2		2	7									2			
106	43	62	6	1	1			3		1					2		1					1	1				1	2																																	44	159	66	6	6		8	6	2							1		1				11	7				1														4	10																		
107		2	5				2		4	5						2																																																1	2	1						2	2																																															
108					2			7			4	2		7	4			1	1		1	1				2						2									1						1				1	1																3	3						2	4			1			2				2																1										1		1						
109	4	8	1	4	1	12	26	5		2												3		2	3	3	21	3													3	3				7															1	1	1	5	1	3	3	15	11	1	5												3	1	3	3	3			1	1											3	1				4													
111	2	2	9	2		4	15	5	6	2	6	12	4	1	3	2		4	3	6			11			1	1																																7		3			5	6	6	13	7	3	5	1	5	10	5	1	2	2	2	3	6	2		8	3			6																																7	
112																																																																																																																								
113				1	4	4					4	1	6	1	5	1																																																		2		4				1	3	1	2	3	2																																											
114																																																																																																																								
116		2		1		1		3	6	3	8	5	1	5	2	2	3	7	10	4	2	2	2		1		1	2	4	2	1										4		2	1	3	1	2	4	2	10	2	5	7	9	2	13	11	10	6	5					2		1	1		2	5	7	9	2	3	2	2	1	10	3		4	2		1		1			2	1										1	3		3	2	1	3	1	4	11	2	4	7	6	5	7	13	11	6	4
117																																																																																																																								
118																																																																																																																								
120				1						2							1																																																																																																							
121											1	1			1																																																										1	1				1																							7																			
122		2					2		4													1					1		1													1																											2	1	1																1																																	
123													2																																			2	1																											1																																2		1										
124							1		1		3	1			1										1			4	3	2							1											1									1											1			1		3	1		1									1					1	2		1																1									1		
126			7	1			11	9	11	6	9	3	1	9	15	11	16	9	9	10		1	6							1		1																														5	1		1	4	2	2	13	5	2	7	4		2	1	10	3	9	6		1	5	3																																				
127	18		3		4	1		1	1			2											4																			2																			1	1	2	4	1		2	1	1					2							2		4																				2																	
128											1					2		2																								1																															1					1																									1																	
131	2			1	1	2		2	2	3	4	1		7	9	5	6	7	5	2	1			1				2	1				1	2	1					1	1	2		1	9		9	56	33	42	42	34	47	84	104	72	70	98	63	52		1		1			1	1		2	2		7	5	3	5	1	7	5	3	1				1						1			1	2						3		2		6	3	8	47	25	56	31	24	36	53	103	70	83	66	63	54
132	3	1	4	2	5	4	9	8	2	1		1			1																																														1	1	1	2	2	4	5	8	2	2	3	1																																																
134					1		1					2		1	1												1		1	1																																					1	1						1	1												1																																	
135																																																																																																																								
136																																																																																																																								
137	48	240	141	2	1	2	15	119	177	153	140	159	88	101	94	132	128	146	57	72	7	6	11				1						1	2			1	1	1		30	5	44						21	24	16	16	14	2	2		4			4	40	61	60	86	114	203	360	401	38	73	90	35	29	17	14	30	41	69	57	45	21	21	15	20	14	4	5		1									1	1		53	25	14	28	33	26	2	17	16	11	18	11	17	11	7	2		4		4
138				2		2	1	1	1	1	12	12	15	2	1		1																1																				1														1		1			3	11	2	1	2																		1																				1						
139	6	3	1	2			1	2	1		1	4	4	9	8	5	8	8	8	11																																												1	2	2			1	2	1	1		3	5	3	4	5	8	4																																								
140											1											1																																																												1																																						
142																																																																																																																								
143																																																																																																																								
144	2	3	3	5	11	7	23	49	20	50	41	32	15	13	10	11	11	8	3	5			2		4	1	1															3	1	2	4	15	5	38	6	39	30	10	6	11	15	8	16	9	13	5	1	2	1	3	1	1	14	23	30	24	13	40	25	25	15	3	6	6	3		1		2		3	1	2																3	1	2	12	7	13	26	5	27	20	18	11	10	14	8	10	13	5
145														1		1	5	2	1	3																																																										3	1	2																																								
147	1	1							1	6	2							1	2	1																																											1	1							1	3	3	1					2	1																																								
148																																																																																																																								
149																																																																																																																								
150		1	2			13	2		2	3	16	15	1	1		1		1	2		6	1				2																									3										6			3		5	6	1			2	7	5	2					2		5	4				2																										1	2							
151																																																																																																																								
153	1																				1		4	1	2	1																	1	1	2	1																																			5		4		2	3															2			1	1	3														
154		1						9	3	5		3		3	2	1	5	3	1	7																																								1									2	3	2	1	2					2	1	5																																								1
155	1			10	1	8		4		2			1							20	1	2	1	1		14	8	1															5	4		1															3		1			3	5	3		2						1					1	3	1	1		13	2	1	1	1													3	2	4		1													
156	1	1		1			7	3	7	3	11	2	9														3																																										2		3	1	4	3																																														
157	3	2	12	8	2	5	12	12	6	4	11	7	7	8	7	4	2	4	3	4		7	11	8		3	1															3	1		3	2										1		1		3			2		2	17	10	2	6	3	1	10	6	5	6	2	3	1	3	3		4	9	12		3	1																3			3	2									1		1		
158	1		5	6	8	7	7	13	11	17	12	7	6	7	9	3					1	2																															1				1				2		1		2	2	6	5	6	4	6	7	8	8	7	1	5					3																																1			1			
159				1																2																								1														8	6																					1																																							6	
160			1									1	1		3								1	1																																									1									2			2						1	1																																				
162								1																																																													1																																																			
163	2	2			1		1	2		1	8	2	6	4	4	3	2	4		4	1	1		1		1	1					1										2		1	1		1			1	2					1				2			2	1		1	1	2	1			3	4	6	3	1	5			1					1	1		1															1		1	1		1		1	2						1			2
165			1	2	1	1	2		4	4	3	4	16	12	11	8	11	5	5	7	3	12	26	14	12	17	11	12	7	1	1	1			2						11	16	38	33	27	18	29	17	19	16	6	20	16	19	18	16	13	24	19	12						2	3		2	4	1	3		8	13	9	8	4	5	7	3	14	18	18	18	13	15		2	6	3	1	1	1				1			12	4	21	42	31	25	24	16	19	12	14	3	23	14	22	13	21	22	19	24
166																			3																																																												3	1																																								
167	1		1	2	3	1		1	2	2		3				1		1		1	5	4	2	5	7	4	7		2					1		1					8	27	9	9	6	43	32	15	39	83	6	10	1		2							1	3		1	1	1	2		3		1		2	1						6	3	1	4	8	5	5	1			1	1									20	2	19	13	11	21	26	32	21	31	76	3	5							
168	6	3	5	2	2	2	5	4	5	2	8	8	6	4	32	13	5	7	2	2																							1		4								1										2	1			3	3	3	1	2	1	5	2	3	9	17	8	2	6																							1		4								1							
171							1																3				1	1																			2	1																																			1				1																					3												
172											1																																																			1											1																																															
173	278	156	210	676	866	975	246	7	2	8													39	2	40																21	41	24	36	30	50	29	5	7													45	63	63	77	204	657	255	27	1	7	14	6	5								1	39	24	57	4																10	57	20	46	27	42	29	7	4										
174												1																																																		1																				1																																						
176						45	10	2	4	4	5	10	26	6																																																					4	6	2	1	1	2	3	4	1																																													
177										1																																																														1									1																																							
178																																																																																																																								
179											1			4			7																																																						1			4			3																																											
180																																																																																																																								
181	20	11	2		3		1	12	1	3	4	10	3	10	6	2		4		1	14	24	8	1																														3								4	10	14	5		2	11	4	3	2	8	4	4	6	1	2	3		3		11	18	1			1																											1	2	1				
182	4	3	3	2	4	1	3	1	8		1	18	6	4							1	3	1	1	3			1													1																				1	1	3		3	3	3	2	1		3	3		2		1					1	2	2	1	1	1																1																		
183																																																																																																																								
184	4	5	2	1	2			1					3		2	3		1																																												1		1	3	1	1				1						3	1																																										
185																																																																																2																																								
187					1																																																																																																																			
188																																																																																																																								
189		3	8		1	1	15	20	15	14	7	4	4	4	4	6	3	2	2			1	1	1	1	14	13	10	19	17	3	7	4	2	1	3	4		2		2	3	9		12	19	36	62	54	175	135	27	40	38	20	31	26	32	33	24	1			1	5	2		10	10	5	10	15	7	7	3	4	4	2	2	2		1		1	1	8	18	1	3	3	9	16	4	9	1	2	1		2		1	4	3	4	5	10	22	51	52	139	150	29	40	26	34	15	32	26	33	19
191	45	28	26	19	20	9	5	11	15	5	1	4	10	22	57	57	45	13	28	33	6	9	10	2	1	4	7	1	2					4	3	2				1	19	8	1	1	6		1	7	2	7	4	1	2	31	44	96	24	16	16	68	9	8	40	24	20	14	20	10	3	8	3	1	3	5	7	12	57	32	28	32	8	9	9	6	1	1	9				1					4	1	1			5	18	2	1	5	2		2	6	2	8	3		1	52	57	50	22	16	39
193																																																																																																																								
194																	1	1																																																																																																						
195				1		3	4	4		3	5	4	4	11	11	1		1		1										1																								2												1		2					1	3	12	5	3	1																																					2					
196	4		2	2	1		1		4	1	1			9	3	4	1		1	1	4		2	3	5																															2		1	1					3		1		1	2	2		1		6	3		1	1	1	1	4			5	5																																2		1	
197					9	2	3	1	1	3	84	239	256	32	4	1	3	3	3	4																															13	10	38	11	1			3	3	4									2		1	13	106	124	98	7	1		3	1																															10	5	33	13	6				3	
